cps_year,occupation,sub_occupation_1,sub_occupation_2,total_number_employed_white,number_employed_white_per_100,total_number_employed_black,number_employed_black_per_100,total_number_employed_asian,number_employed_asian_per_100,total_number_employed_hispanic,number_employed_hispanic_per_100,acs_year
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,"Bus drivers, transit and intercity",164226.0,0.07787819924753117,90242.99999999999,0.21972496821958323,7046.000000000001,0.03640843359044357,47696.00000000001,0.07555013386404706,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Cleaners of vehicles and equipment,287154.0,0.1361723261038177,52310.99999999999,0.12736758322013472,7791.000000000001,0.04025803379266901,132818.0,0.21038279267768786,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Industrial truck and tractor operators,430430.0,0.20411575086840597,130032.00000000001,0.31660380381335784,13244.000000000002,0.06843504037352181,215516.0,0.3413758522694558,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,"Motor vehicle operators, all other",129591.00000000001,0.0614538119340836,74612.99999999999,0.1816688170137048,21945.0,0.1133952703863588,39732.0,0.06293521298822369,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Supervisors of transportation and material moving workers,232162.0,0.11009437295985613,41216.0,0.10035331593739508,31878.0,0.16472155066650015,64722.00000000001,0.10251920001570056,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,"Packers and packagers, hand",455429.00000000006,0.215970616133279,140793.0,0.3428048430408983,37677.0,0.19468642526073549,292162.0,0.4627825857511681,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Stockers and order fillers,1290828.0,0.6121281659316562,262570.0,0.6393092528552462,60984.00000000001,0.31511948823156555,431970.0,0.6842374900463855,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,"Laborers and freight, stock, and material movers, hand",1664208.0,0.7891900321102344,427482.0,1.0408393877025797,82296.00000000001,0.4252438902581811,656082.0,1.0392293468171694,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Taxi drivers,251346.0,0.11919168626204114,153686.0,0.3741969068603091,86865.99999999999,0.4488582163308928,136724.0,0.21656986964164643,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,Driver/sales workers and truck drivers,2536802.0000000005,1.202985955984653,762114.0,1.8556062456888567,161010.0,0.8319786960541184,869454.0,1.3772091179266848,2023
2024,"Production, transportation, and material moving occupations",Transportation and material moving occupations,all,8506090.0,4.033703383370675,2374070.0,5.780420146726794,560710.0,2.8973279589125194,3137590.0,4.969920842638699,2023
2024,"Natural resources, construction, and maintenance occupations",all,all,12275523.0,5.821219697621884,1165671.0,2.8381926956050867,287820.0,1.487237490207418,5123196.000000001,8.115107002930024,2023
2024,"Production, transportation, and material moving occupations",all,all,14547036.0,6.8984020074105725,3497648.0000000005,8.516124194045954,1013522.9999999999,5.237125296322329,5166980.0,8.18446055587164,2023
2024,Service occupations,all,all,18833824.000000004,8.93125508789677,4655552.0,11.335405685145854,1613572.0,8.337727647658133,7406560.000000001,11.731939774238853,2023
2024,Sales and office occupations,all,all,23101105.0,10.954857684094714,3885050.0,9.45937621512463,1703445.0,8.802123780509955,5468955.0,8.662786865700465,2023
2024,"Management,  professional, and related occupations",all,all,54260648.0,25.731136094431783,7498864.0,18.25834307462049,6649936.0,34.36187244347146,8064816.0,12.77461272200831,2023
2024,all,all,all,123106998.0,58.37901013852509,20652288.0,50.28449103489113,11294220.000000002,58.36004241070957,31301123.999999996,49.58076375996175,2023
